tamaño_m2,precio_cop,fecha_construccion,barrio,antiguedad,habitaciones
125,801800000,2013,El Velodromo,12,3
84,420400000,2014,La America,11,4
72,396800000,1999,Belen,26,2
47,199500000,2016,Estadio,9,2
62,193200000,2001,Buenos Aires,24,2
49,126400000,2005,Santa Cruz,20,3
82,277700000,1975,Manrique Central,50,3
49,105100000,1988,Villa Guadalupe,37,3
105,714500000,2011,Manrique Central,14,3
127,613200000,2011,La Cruz,14,5
50,416100000,2016,El Tesoro,9,1
45,133600000,2022,La Cruz,3,1
64,194000000,1991,Andalucia,34,2
74,360700000,2014,Belen,11,4
51,226700000,2014,Cristo Rey,11,2
65,181400000,1972,Caicedo,53,4
50,108900000,1984,Villa Guadalupe,41,2
96,475700000,2004,Guayabal,21,4
59,197300000,2002,La America,23,2
55,146200000,1991,Belen,34,2
78,406300000,2021,Buenos Aires,4,2
85,381300000,2005,Manrique Central,20,4
180,875500000,1981,El Velodromo,44,4
124,565200000,2017,Villa Guadalupe,8,3
76,405500000,2019,Belen,6,2
63,195700000,1992,Guayabal,33,3
350,2527600000,2003,El Tesoro,22,6
114,549800000,2015,Villa Hermosa,10,4
180,975700000,2000,Laureles,25,5
54,157900000,2019,Villa Guadalupe,6,3
151,1030900000,2022,Prado,3,5
55,193200000,2012,Andalucia,13,2
120,590000000,1984,La Floresta,41,3
122,548000000,2019,Villa Guadalupe,6,3
53,164400000,2011,Popular,14,2
49,137800000,2017,La Cruz,8,2
85,573300000,2022,Belen,3,3
63,241100000,2016,La Floresta,9,3
59,195400000,2005,La Candelaria,20,2
55,143900000,2010,Popular,15,3
118,795600000,2018,Prado,7,5
90,374500000,2009,Villa Guadalupe,16,4
124,1022500000,2005,Manrique Central,20,3
55,136600000,1998,Granizal,27,3
56,164100000,1992,La Candelaria,33,2
75,283200000,1982,La America,43,3
65,229800000,2017,Guayabal,8,4
180,1522800000,2017,La Castellana,8,6
120,834200000,2024,La Floresta,1,5
98,883000000,2018,La America,7,4
53,180000000,1980,Andalucia,45,2
120,684700000,2022,Carlos E Restrepo,3,4
115,450900000,1988,Conquistadores,37,5
121,756600000,2012,Prado,13,5
55,158800000,2012,Granizal,13,3
53,224600000,2018,Belen,7,2
65,180700000,1989,Andalucia,36,3
64,166800000,1989,Caicedo,36,3
65,310000000,2019,Caicedo,6,3
50,207200000,2011,Caicedo,14,3
310,2109500000,2006,El Poblado,19,5
62,217600000,1992,Caicedo,33,2
120,623100000,1991,La Floresta,34,4
49,114800000,1992,Granizal,33,2
51,118900000,1993,Popular,32,2
65,175600000,1977,La Candelaria,48,2
102,580800000,2018,Conquistadores,7,3
64,260000000,2016,Cristo Rey,9,2
63,202300000,2006,Villa Hermosa,19,2
65,236700000,2015,Guayabal,10,2
80,367100000,2008,La America,17,3
114,625100000,1996,La America,29,3
54,162700000,1994,Guayabal,31,2
113,573200000,2010,Belen,15,4
102,482500000,1983,Villa Hermosa,42,4
107,460700000,1988,La Candelaria,37,4
70,369700000,2001,Manrique Central,24,3
106,306100000,1990,Santa Cruz,35,3
96,499800000,1991,Campo Valdes No 1,34,4
54,137500000,2003,Santa Cruz,22,3
114,652100000,2012,Campo Valdes No 1,13,5
117,630000000,2015,Villa Hermosa,10,3
72,307600000,1996,Manrique Central,29,4
111,575100000,2010,La Candelaria,15,5
46,117100000,2001,Santa Cruz,24,2
55,184900000,2015,Manrique Central,10,3
65,318700000,2021,Caicedo,4,3
57,155400000,1981,Villa Hermosa,44,2
120,480200000,1989,Laureles,36,5
63,194900000,1991,Campo Valdes No 1,34,4
84,384300000,2001,Aranjuez,24,3
63,203900000,2004,Suramericana,21,3
51,159800000,2007,Aranjuez,18,3
108,985800000,2019,Buenos Aires,6,4
80,370500000,2001,Belen,24,2
76,350900000,2008,Buenos Aires,17,2
61,189800000,2000,Andalucia,25,2
48,124800000,2009,Villa Guadalupe,16,2
62,279600000,2017,Guayabal,8,4
47,114000000,1995,Popular,30,3
84,406300000,2013,Aranjuez,12,3
96,442300000,1992,Caicedo,33,4
64,292200000,2022,Villa Hermosa,3,2
71,330600000,1973,Aranjuez,52,2
49,130600000,1990,Buenos Aires,35,3
64,208800000,2021,Manrique Central,4,3
350,2561400000,2017,Castropol,8,6
74,339500000,2001,Aranjuez,24,3
120,648800000,2020,Conquistadores,5,5
65,211800000,2005,Campo Valdes No 1,20,3
108,510400000,1992,La Candelaria,33,3
59,198100000,2010,La Candelaria,15,3
76,278700000,1983,Manrique Central,42,2
49,224200000,1981,El Tesoro,44,2
63,192700000,1992,Andalucia,33,3
58,152500000,1981,La America,44,2
65,210200000,2003,Villa Hermosa,22,3
126,681600000,2018,Campo Valdes No 1,7,4
81,379600000,2003,Aranjuez,22,3
55,132800000,1994,Santa Cruz,31,3
47,97700000,1985,Granizal,40,2
60,188900000,1995,Buenos Aires,30,2
50,178800000,2017,Laureles,8,3
55,209300000,2019,Villa Hermosa,6,2
117,625700000,2019,Campo Valdes No 1,6,3
106,536300000,2010,Guayabal,15,4
55,191200000,2004,La America,21,3
51,152900000,2018,Villa Guadalupe,7,3
45,151900000,2004,Suramericana,21,2
92,357100000,2017,Santa Cruz,8,3
129,496000000,1973,Villa Hermosa,52,3
48,173700000,2017,Buenos Aires,8,2
84,355900000,1992,Aranjuez,33,4
64,256900000,2007,Villa Hermosa,18,4
61,198300000,2003,Caicedo,22,4
70,291900000,1999,Belen,26,2
85,438600000,2021,La America,4,3
54,127000000,1997,Granizal,28,2
61,206700000,2010,La Candelaria,15,4
48,100700000,1982,Moscu No 2,43,3
85,396500000,2004,Aranjuez,21,3
106,579500000,2013,Estadio,12,3
53,142900000,1984,Andalucia,41,3
63,210200000,2008,Caicedo,17,4
120,658800000,2012,Estadio,13,5
62,207100000,2006,Andalucia,19,3
61,197700000,2009,Campo Valdes No 1,16,3
180,1338300000,2023,Quinta Parro,2,5
110,604500000,2017,Estadio,8,4
46,97600000,1987,La Cruz,38,3
47,135000000,2014,Villa Guadalupe,11,2
53,142700000,2016,Villa Guadalupe,9,3
64,231700000,2011,Caicedo,14,3
63,227000000,2016,Caicedo,9,2
350,2398300000,2003,Manila,22,5
113,695500000,2024,Suramericana,1,5
65,232000000,2014,Campo Valdes No 1,11,3
59,176900000,1998,Guayabal,27,3
48,94000000,1973,Moscu No 2,52,3
61,223900000,2013,La Candelaria,12,2
171,1012600000,2005,Laureles,20,4
350,2296200000,2007,Los Balsos,18,6
58,175200000,1992,Villa Hermosa,33,3
55,182100000,2023,Granizal,2,3
75,278100000,1990,La America,35,2
63,215100000,2008,Guayabal,17,3
55,159700000,2019,Popular,6,3
112,638700000,2022,Conquistadores,3,4
80,366700000,2008,La America,17,3
56,171200000,1997,La Candelaria,28,3
55,129500000,1994,Granizal,31,2
120,626300000,2006,Conquistadores,19,3
107,538800000,2001,Conquistadores,24,4
65,248600000,2019,Guayabal,6,4
120,691600000,2018,Conquistadores,7,5
81,416200000,2013,Aranjuez,12,4
63,237300000,2019,Guayabal,6,2
61,221200000,2015,Andalucia,10,3
112,558500000,2007,Conquistadores,18,4
78,335800000,1997,Buenos Aires,28,3
120,488400000,1985,Villa Nueva,40,4
180,1062800000,2001,La Castellana,24,6
52,110100000,1981,Santa Cruz,44,3
58,192800000,2010,Caicedo,15,3
58,219800000,2018,La Candelaria,7,3
350,1805400000,1974,Los Balsos,51,6
78,348400000,2005,La America,20,2
50,176300000,2016,Andalucia,9,2
54,147300000,2013,Santa Cruz,12,2
180,862700000,1990,Quinta Parro,35,6
54,170700000,1998,Caicedo,27,2
350,2312000000,1995,El Tesoro,30,5
120,600200000,2006,Belen,19,4
120,689100000,2018,Suramericana,7,3
55,108200000,1975,Popular,50,3
120,588100000,2006,Conquistadores,19,4
65,215800000,2006,Villa Hermosa,19,3
57,203400000,2016,Andalucia,9,2
44,91600000,1982,Santa Cruz,43,1
63,272000000,1999,Belen,26,4
120,476600000,1977,Suramericana,48,5
60,248400000,2024,Villa Hermosa,1,3
71,353400000,2013,Belen,12,2
60,197700000,2007,Campo Valdes No 1,18,3
48,98800000,1982,Villa Guadalupe,43,3
76,375700000,2013,Aranjuez,12,3
63,174900000,1985,Villa Hermosa,40,2
54,158900000,2021,Santa Cruz,4,3
74,395500000,2018,Belen,7,2
63,232800000,2017,Guayabal,8,3
61,227200000,2011,Andalucia,14,4
52,107800000,1980,Moscu No 2,45,2
109,505500000,1994,Carlos E Restrepo,31,3
75,356900000,2007,Manrique Central,18,3
62,256900000,2024,Andalucia,1,2
61,218500000,2013,Andalucia,12,4
76,406400000,2014,Laureles,11,4
65,216200000,2002,Campo Valdes No 1,23,4
65,239000000,2014,Villa Hermosa,11,4
180,1034800000,2004,El Velodromo,21,5
180,1141200000,2011,El Velodromo,14,5
80,415400000,2020,Manrique Central,5,3
258,1606700000,1992,Los Balsos,33,7
59,199600000,2007,Campo Valdes No 1,18,2
55,183300000,2003,Campo Valdes No 1,22,2
180,972300000,2000,Laureles,25,4
180,1039400000,2005,Quinta Parro,20,4
59,185000000,1996,La Candelaria,29,2
73,313500000,1991,Buenos Aires,34,2
54,142500000,2006,Popular,19,2
120,698100000,2018,Carlos E Restrepo,7,3
59,157500000,1980,Guayabal,45,3
77,395900000,2021,Manrique Central,4,3
57,153900000,1990,La Candelaria,35,2
328,2768500000,2018,El Tesoro,7,6
47,173000000,2012,Caicedo,13,3
55,195500000,2012,Caicedo,13,3
120,560400000,1992,Estadio,33,5
180,1151000000,2013,Prado,12,5
110,624500000,2021,Conquistadores,4,4
72,364800000,2012,Belen,13,4
57,206400000,2012,Villa Hermosa,13,2
350,2581000000,2016,Los Balsos,9,5
120,610300000,2003,Estadio,22,3
87,467000000,2015,Carlos E Restrepo,10,4
120,484300000,1987,Suramericana,38,4
60,205100000,2002,Andalucia,23,3
56,183100000,2005,Caicedo,20,3
54,150600000,1982,Caicedo,43,3
84,394000000,2005,La America,20,4
76,339900000,2006,Aranjuez,19,2
68,321500000,2008,Manrique Central,17,2
120,657800000,2014,Laureles,11,5
61,227100000,2021,La Candelaria,4,4
59,177000000,1996,La Candelaria,29,2
90,455300000,2008,Estadio,17,3
69,287500000,1997,Manrique Central,28,4
59,212800000,2013,Andalucia,12,3
70,254100000,1985,Manrique Central,40,2
180,1081500000,2006,Laureles,19,4
53,136900000,2010,Villa Guadalupe,15,3
116,536700000,1994,Suramericana,31,3
85,443600000,2019,Manrique Central,6,4
63,190100000,1998,Caicedo,27,3
120,477900000,1984,Estadio,41,4
85,352300000,1991,La America,34,4
76,287600000,1984,La America,41,3
55,146300000,2008,Moscu No 2,17,2
65,208000000,2006,Villa Hermosa,19,3
350,2376700000,2003,Manila,22,7
75,436200000,2024,Aranjuez,1,3
65,173500000,1982,Caicedo,43,3
55,182300000,2001,Campo Valdes No 1,24,2
48,135000000,2016,Villa Guadalupe,9,2
79,409600000,2012,Villa Nueva,13,3
62,230700000,2012,La Candelaria,13,2
62,169300000,1980,Guayabal,45,4
60,216700000,2013,Andalucia,12,3
46,116800000,2005,Villa Guadalupe,20,2
85,415700000,2016,Buenos Aires,9,4
286,2166800000,2021,Castropol,4,6
74,371700000,2015,Aranjuez,10,2
53,150100000,2013,Popular,12,3
47,118900000,2001,Granizal,24,2
51,123100000,1999,Santa Cruz,26,3
65,210400000,2007,Caicedo,18,3
180,1211100000,2018,Los Colores,7,4
60,228000000,2019,Caicedo,6,2
120,548900000,1999,Carlos E Restrepo,26,4
57,205300000,2013,Campo Valdes No 1,12,2
78,389800000,2017,Manrique Central,8,3
83,415100000,2015,Belen,10,3
54,144000000,1990,Andalucia,35,3
50,105100000,1989,La Cruz,36,2
180,1028400000,2004,El Velodromo,21,6
61,183700000,1994,La Candelaria,31,4
72,272300000,1980,La America,45,3
102,632600000,2024,Belen,1,4
49,102100000,1987,Popular,38,3
61,162600000,1980,Campo Valdes No 1,45,2
69,351300000,2011,Aranjuez,14,2
72,376400000,2019,Manrique Central,6,4
58,187600000,2003,Caicedo,22,2
120,460500000,1972,Estadio,53,4
58,177400000,1997,Guayabal,28,3
120,538500000,1994,Suramericana,31,3
47,121000000,2008,Santa Cruz,17,3
55,168200000,2000,Campo Valdes No 1,25,3
64,291800000,2003,Buenos Aires,22,3
61,231500000,2022,Campo Valdes No 1,3,3
120,582800000,2004,Villa Nueva,21,4
60,220000000,2011,Campo Valdes No 1,14,3
80,406400000,2011,Aranjuez,14,3
47,131800000,2014,Popular,11,2
77,289300000,1983,Manrique Central,42,3
73,318300000,1999,Buenos Aires,26,3
63,197200000,1992,Andalucia,33,3
61,216500000,2015,Caicedo,10,3
63,214100000,2002,Caicedo,23,3
61,215500000,2015,Guayabal,10,4
74,425800000,2023,Buenos Aires,2,3
120,671300000,2015,La Floresta,10,3
98,490400000,2001,Villa Nueva,24,3
152,922600000,2004,Laureles,21,5
131,709700000,1996,Los Colores,29,5
84,461900000,2017,Belen,8,3
120,586500000,2005,Carlos E Restrepo,20,4
120,657500000,2012,Carlos E Restrepo,13,3
61,230700000,2021,Guayabal,4,3
51,142600000,2014,Santa Cruz,11,3
120,628700000,2017,Estadio,8,4
85,399400000,2007,Manrique Central,18,4
65,248800000,2018,La Candelaria,7,4
74,343700000,2005,Aranjuez,20,4
54,170700000,2024,La Cruz,1,2
55,129800000,1993,Popular,32,3
82,358600000,1992,Buenos Aires,33,3
61,158200000,1970,Guayabal,55,2
82,324800000,1990,Estadio,35,4
56,193200000,2014,Villa Hermosa,11,3
76,388600000,2003,La Floresta,22,2
85,315100000,1984,La America,41,3
85,316900000,1981,La America,44,4
85,405800000,2010,La America,15,4
74,376100000,2017,Buenos Aires,8,2
65,231000000,2013,Campo Valdes No 1,12,3
60,246900000,1990,Carlos E Restrepo,35,2
56,170900000,1994,Villa Hermosa,31,2
79,367600000,2004,Manrique Central,21,3
76,351400000,2003,Manrique Central,22,4
120,573100000,2010,Conquistadores,15,4
54,132900000,1974,Campo Valdes No 1,51,2
49,128200000,2007,Popular,18,3
65,244700000,2018,Caicedo,7,3
59,200800000,2006,Guayabal,19,3
52,132900000,2006,Moscu No 2,19,2
64,198900000,1991,Guayabal,34,3
80,395400000,2012,Manrique Central,13,2
136,737300000,1996,Los Colores,29,4
62,229900000,2015,La Candelaria,10,4
50,122600000,2006,Santa Cruz,19,3
64,242200000,2019,Caicedo,6,3
180,857100000,1979,El Velodromo,46,5
71,330300000,2009,Buenos Aires,16,3
60,200100000,2001,Guayabal,24,2
49,115400000,1996,Popular,29,3
120,511900000,1986,Villa Nueva,39,5
115,622900000,2013,Suramericana,12,5
78,352900000,2006,La America,19,2
58,199800000,2003,Caicedo,22,3
74,340900000,2007,La America,18,2
104,560900000,2016,La Floresta,9,4
57,172600000,2000,La Candelaria,25,2
82,465800000,2019,Villa Nueva,6,3
113,567100000,2005,Conquistadores,20,5
309,2329700000,2020,Los Balsos,5,7
55,152700000,2012,Moscu No 2,13,2
120,746900000,2023,Estadio,2,5
54,201700000,2016,Caicedo,9,2
120,597000000,2003,Suramericana,22,4
64,227400000,2013,Andalucia,12,4
120,675800000,2019,Villa Nueva,6,5
58,215100000,2019,Villa Hermosa,6,2
62,223300000,2011,La Candelaria,14,3
180,1066600000,2004,Quinta Parro,21,5
88,330900000,1972,Carlos E Restrepo,53,3
85,448200000,2019,Buenos Aires,6,4
48,142800000,2018,Granizal,7,3
120,554700000,2000,Carlos E Restrepo,25,4
59,200500000,2001,Guayabal,24,3
58,181000000,1991,Caicedo,34,3
75,342200000,2001,Belen,24,3
63,232500000,2011,Andalucia,14,2
60,254500000,2023,Villa Hermosa,2,3
80,334600000,2000,Manrique Central,25,3
76,384000000,2017,Belen,8,3
65,219600000,2007,Andalucia,18,3
65,239200000,2021,Campo Valdes No 1,4,2
120,656700000,2012,Belen,13,4
61,204700000,2009,Caicedo,16,4
45,126300000,2018,Moscu No 2,7,2
80,299600000,1986,Manrique Central,39,3
59,224900000,2018,Caicedo,7,3
61,221000000,2016,Andalucia,9,4
54,127200000,1998,Popular,27,3
120,588500000,2008,La Floresta,17,5
44,112700000,2010,Granizal,15,2
65,172500000,1978,Campo Valdes No 1,47,2
180,1058200000,2010,Quinta Parro,15,4
120,486700000,1976,Belen,49,5
55,151100000,2017,Santa Cruz,8,3
52,155900000,2020,La Cruz,5,2
120,563900000,2009,La Floresta,16,3
63,210800000,2004,La Candelaria,21,3
120,615400000,2005,Estadio,20,3
85,425600000,2013,Buenos Aires,12,3
45,121000000,2002,Villa Guadalupe,23,2
173,1044500000,2010,Cristo Rey,15,6
77,352900000,2002,Manrique Central,23,3
59,173100000,1993,Campo Valdes No 1,32,2
73,331300000,2007,Aranjuez,18,4
55,140000000,2009,La Cruz,16,3
80,366700000,2003,Manrique Central,22,3
48,124300000,2001,Santa Cruz,24,2
78,398400000,2013,La America,12,2
279,1798100000,2003,Manila,22,6
113,732900000,2014,Prado,11,4
120,640000000,2013,Estadio,12,5
48,118200000,2002,Santa Cruz,23,3
55,114400000,1981,La Cruz,44,3
53,147900000,2012,Santa Cruz,13,2
85,287200000,1971,Belen,54,4
79,421000000,2018,Belen,7,4
78,288100000,1990,Buenos Aires,35,4
45,114400000,2006,Moscu No 2,19,1
66,334800000,2014,Belen,11,3
81,378900000,2004,Buenos Aires,21,3
72,352100000,2016,Manrique Central,9,2
62,236700000,2018,Andalucia,7,4
105,630300000,2010,Prado,15,3
68,332600000,2013,Buenos Aires,12,3
58,155600000,1990,Villa Hermosa,35,2
64,165500000,1974,La Candelaria,51,2
65,169600000,1981,Villa Hermosa,44,4
73,327500000,2010,La America,15,2
264,1847900000,2005,El Poblado,20,7
60,246000000,2023,Andalucia,2,2
55,137600000,1974,Andalucia,51,3
73,411000000,2019,Conquistadores,6,4
51,150600000,2019,Santa Cruz,6,2
69,308000000,2001,Buenos Aires,24,3
79,354800000,2008,Belen,17,2
118,554900000,1999,Laureles,26,5
54,219700000,2023,Andalucia,2,2
84,303500000,1989,Aranjuez,36,4
59,204500000,2003,La Candelaria,22,2
344,2236600000,2009,Manila,16,7
62,176300000,1977,Villa Hermosa,48,4
53,220500000,2023,Andalucia,2,3
81,427900000,2018,Aranjuez,7,3
50,141700000,2016,La Cruz,9,3
163,782100000,1990,Laureles,35,5
61,206300000,2002,Guayabal,23,4
63,205600000,2002,Andalucia,23,3
85,443800000,2018,Aranjuez,7,3
350,2668100000,2015,El Poblado,10,6
60,161400000,1986,Campo Valdes No 1,39,2
120,688500000,2019,Estadio,6,3
60,314900000,2021,La America,4,3
76,374100000,2014,Aranjuez,11,4
62,202800000,2001,Campo Valdes No 1,24,3
64,246500000,2022,Guayabal,3,4
62,158500000,1972,Campo Valdes No 1,53,3
81,308600000,1990,Belen,35,3
83,417900000,2015,Manrique Central,10,3
55,141200000,2006,Villa Guadalupe,19,3
57,151500000,1981,Villa Hermosa,44,3
115,627400000,2022,Villa Nueva,3,4
52,135700000,2007,Villa Guadalupe,18,3
55,111800000,1982,Moscu No 2,43,2
57,177300000,1998,La Candelaria,27,3
59,197900000,2006,La Candelaria,19,3
217,1409200000,2010,Los Balsos,15,4
51,134000000,2005,Moscu No 2,20,3
74,371400000,2013,Belen,12,2
64,233000000,2016,Andalucia,9,2
71,355500000,2015,Aranjuez,10,2
52,140300000,1989,Caicedo,36,3
74,314600000,1998,Buenos Aires,27,4
73,279900000,1985,Belen,40,4
63,190900000,2000,Campo Valdes No 1,25,4
120,693300000,2020,Villa Nueva,5,5
60,206600000,2002,Andalucia,23,3
81,398400000,2012,La America,13,4
133,644300000,1985,Laureles,40,5
55,141700000,2001,La Cruz,24,3
63,206400000,2005,Campo Valdes No 1,20,3
55,147200000,1979,La Candelaria,46,2
120,688900000,2018,Conquistadores,7,3
55,210700000,2019,Caicedo,6,3
72,308300000,1999,Buenos Aires,26,2
73,302900000,2000,La America,25,4
85,358900000,1993,La America,32,3
63,170200000,1980,La Candelaria,45,4
55,197100000,2017,Villa Hermosa,8,3
56,194400000,2003,Campo Valdes No 1,22,2
54,139200000,2005,Granizal,20,3
81,349200000,2000,Belen,25,3
82,477800000,2023,La America,2,4
53,126400000,1997,Santa Cruz,28,3
65,216000000,2002,Andalucia,23,2
120,455200000,1974,Carlos E Restrepo,51,5
120,577100000,2005,Laureles,20,3
48,114000000,1995,Popular,30,2
68,312900000,2006,Belen,19,4
180,856000000,1982,La Castellana,43,4
62,218800000,2016,Guayabal,9,3
80,397000000,2011,Aranjuez,14,3
55,185300000,2001,Villa Hermosa,24,3
168,1123500000,2019,Cristo Rey,6,6
52,100200000,1971,Santa Cruz,54,2
55,156500000,2022,La Cruz,3,2
79,393500000,2013,Buenos Aires,12,4
113,536500000,2005,La Floresta,20,5
55,127200000,1991,La Cruz,34,3
50,145700000,2018,Villa Guadalupe,7,3
180,986000000,1993,El Velodromo,32,6
57,205800000,2011,Guayabal,14,3
350,2662900000,2020,Los Balsos,5,5
120,570700000,1991,Estadio,34,4
59,208300000,2011,Guayabal,14,2
81,402500000,2015,La America,10,4
51,128100000,2001,Granizal,24,3
63,235900000,2018,Andalucia,7,2
61,160200000,1975,Guayabal,50,4
50,120800000,1998,La Cruz,27,2
298,1805200000,1978,El Tesoro,47,6
61,231300000,2022,Villa Hermosa,3,2
85,357000000,1996,La America,29,4
85,352300000,1995,La America,30,3
53,143200000,1977,Andalucia,48,3
52,123300000,1998,Moscu No 2,27,3
115,693500000,2010,Prado,15,3
60,198000000,2001,Guayabal,24,2
120,578900000,2006,Villa Nueva,19,3
78,337400000,1992,Aranjuez,33,4
58,148400000,1981,Andalucia,44,3
120,664000000,2017,La Floresta,8,4
91,473900000,2012,Estadio,13,4
61,165800000,1976,Campo Valdes No 1,49,3
49,124500000,2004,Granizal,21,3
318,1914500000,1995,Alejandria,30,7
65,249700000,2018,Guayabal,7,3
55,193300000,2014,Andalucia,11,3
110,609500000,2019,La Floresta,6,4
120,625700000,2012,Carlos E Restrepo,13,5
55,131900000,1991,Villa Guadalupe,34,3
120,487000000,1977,Estadio,48,4
53,193800000,2014,Andalucia,11,2
120,584800000,2007,Laureles,18,5
65,219600000,2005,Guayabal,20,4
180,1224800000,2018,Los Colores,7,5
57,190400000,2001,La Candelaria,24,3
83,381800000,2009,Buenos Aires,16,4
63,195500000,1991,Villa Hermosa,34,2
64,156400000,1974,Campo Valdes No 1,51,4
76,383800000,2017,Belen,8,4
51,133200000,2007,Granizal,18,2
62,213600000,2016,La Candelaria,9,3
55,160200000,2018,Moscu No 2,7,2
56,216200000,2018,Villa Hermosa,7,2
63,232300000,2011,Villa Hermosa,14,3
180,808100000,1972,Prado,53,4
72,323900000,2001,Manrique Central,24,2
85,384200000,2003,Belen,22,3
48,126000000,2004,Moscu No 2,21,3
75,343900000,2002,Aranjuez,23,4
180,1145800000,2011,Laureles,14,6
85,337600000,1985,Belen,40,4
56,232000000,2023,Caicedo,2,3
57,234900000,2023,Villa Hermosa,2,3
72,346700000,2013,Belen,12,3
56,171100000,1997,Guayabal,28,3
53,162900000,1998,La Candelaria,27,2
78,289300000,1982,La America,43,4
76,370100000,2011,Belen,14,3
54,176700000,2023,Villa Guadalupe,2,3
71,319300000,2010,Belen,15,2
72,382200000,2018,La America,7,3
62,209600000,2010,Andalucia,15,4
65,158800000,1972,Andalucia,53,4
62,239600000,2022,Campo Valdes No 1,3,4
58,208700000,2012,Guayabal,13,3
50,139600000,2015,Granizal,10,2
64,219400000,2004,Guayabal,21,4
85,357600000,1996,Buenos Aires,29,4
61,227000000,2019,Campo Valdes No 1,6,3
57,174200000,1996,Campo Valdes No 1,29,2
74,336500000,2010,Belen,15,3
180,1160200000,2017,Los Colores,8,5
120,778000000,2011,Quinta Parro,14,3
83,315500000,1981,Manrique Central,44,3
77,348600000,2008,Belen,17,2
83,446100000,2012,Belen,13,4
85,356900000,1996,Manrique Central,29,3
65,231400000,2012,La Candelaria,13,3
64,161400000,1974,La Candelaria,51,3
44,112200000,2006,Villa Guadalupe,19,2
85,359200000,1997,Manrique Central,28,3
50,120900000,1992,Moscu No 2,33,3
120,643700000,2013,Estadio,12,4
57,184700000,1996,Andalucia,29,3
65,217400000,2001,La Candelaria,24,3
62,233800000,2020,Caicedo,5,4
61,201100000,2007,Campo Valdes No 1,18,2
73,338300000,2007,La America,18,2
76,383200000,2017,Manrique Central,8,4
63,210600000,2010,Villa Hermosa,15,3
56,199900000,2013,La Candelaria,12,3
59,151600000,1970,Villa Hermosa,55,2
84,351900000,1991,La America,34,4
46,114800000,1994,Moscu No 2,31,3
62,162800000,1980,Villa Hermosa,45,4
57,219900000,2022,Caicedo,3,2
65,223300000,2004,Caicedo,21,4
80,322100000,1991,Aranjuez,34,4
120,634900000,2011,Villa Nueva,14,3
79,290900000,1987,La America,38,3
76,328500000,1993,Buenos Aires,32,2
59,194200000,2007,La Candelaria,18,3
120,511500000,1981,Conquistadores,44,3
71,357000000,2013,Buenos Aires,12,2
120,647300000,2017,Estadio,8,4
65,227800000,2016,Andalucia,9,4
119,663900000,2019,La Floresta,6,5
60,215800000,2016,La Candelaria,9,2
51,152500000,2019,Granizal,6,3
93,447800000,1981,Prado,44,3
59,250800000,2024,Villa Hermosa,1,2
72,326600000,2001,Aranjuez,24,2
59,193000000,2005,Guayabal,20,3
85,303300000,1971,Buenos Aires,54,4
59,155000000,1970,Campo Valdes No 1,55,3
120,500700000,1981,Belen,44,3
120,653400000,2015,Conquistadores,10,4
89,481200000,2012,Belen,13,3
74,317800000,1993,La America,32,4
120,650800000,2015,Belen,10,4
83,384200000,2009,La America,16,4
77,375600000,2014,Manrique Central,11,4
57,170900000,1996,Guayabal,29,2
64,211300000,2007,Villa Hermosa,18,4
61,200100000,2002,Villa Hermosa,23,3
120,557400000,1997,La Floresta,28,5
79,394600000,2011,Aranjuez,14,3
56,199100000,2013,Campo Valdes No 1,12,2
53,193200000,2012,Caicedo,13,2
